what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1309036407966
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309036413478
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309036414946
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309036452613
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309036452770
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1309036465617
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309036470372
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309036471051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036517489
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036518411
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036519091
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036543424
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309036559005
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309036559124
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1309036598674
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036604781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036624671
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309036637196
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309036637322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036651816
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036665979
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1309036693603
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036705965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036707468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036708648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036738458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036770653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036781035
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309036799028
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309036799180
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036851364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036873472
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036882165
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036886765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036889459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036892323
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036902146
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036904331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036907849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036911421
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309036929962
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309036930125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1309036983618
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309036988151
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309036994052
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309036999959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309037001766
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309037012781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309037017986
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309037030404
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309037045194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309037045811
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309037046512
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309037048829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309037049825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309037111470
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309037116906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1309037135955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309037139639
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309037139980
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309037140139
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309037140256
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309037140756
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309037140790
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309037140823
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309037140855
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309037140889
